               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079149,            0.034693,            0.044165,             0.32771,             0.20613,             0.10442,            0.027792,            0.063485,            0.021051,             0.03499,            0.070319,           0.0032979,           0.0032979
                   1,            0.059751,            0.027635,            0.029294,             0.36401,             0.40564,             0.39174,             0.15462,            0.050277,            0.016583,             0.02224,            0.040253,           0.0065656,           0.0065656
                   2,            0.055409,             0.02543,            0.021801,             0.43205,             0.51181,             0.45214,             0.17595,            0.047536,            0.018548,            0.019278,            0.010122,           0.0097672,           0.0097672
                   3,            0.050276,            0.024686,            0.018382,             0.64121,             0.51366,             0.55101,             0.24944,            0.045071,            0.017541,            0.015957,            0.009703,            0.009703,            0.009703
                   4,            0.047518,            0.023935,            0.015835,             0.68367,             0.59958,             0.64829,             0.31754,            0.042289,             0.01458,            0.013577,            0.009703,            0.009703,            0.009703
                   5,            0.045735,            0.023327,            0.014309,             0.72238,             0.59152,             0.68391,             0.33641,            0.040771,            0.014776,             0.01232,            0.009604,            0.009604,            0.009604
                   6,            0.044605,            0.022825,            0.013351,             0.76814,             0.63026,             0.71187,             0.35642,            0.040097,            0.013801,            0.011073,            0.009505,            0.009505,            0.009505
                   7,            0.043447,            0.022682,            0.012344,             0.78783,              0.6619,             0.75411,             0.39584,            0.037771,             0.01302,           0.0091701,            0.009406,            0.009406,            0.009406
                   8,            0.042619,            0.021927,            0.011757,             0.75581,             0.66016,             0.72876,             0.37839,            0.038434,            0.013505,           0.0090281,            0.009307,            0.009307,            0.009307
                   9,            0.041725,            0.021835,            0.010858,             0.79493,             0.65987,             0.75028,             0.40069,            0.038138,            0.013677,           0.0090582,            0.009208,            0.009208,            0.009208
                  10,            0.040968,             0.02147,            0.010242,             0.78725,               0.693,             0.78171,             0.42322,            0.037406,            0.012818,           0.0076389,            0.009109,            0.009109,            0.009109
                  11,            0.040551,            0.021189,            0.010139,             0.81268,             0.71792,             0.80867,              0.4483,            0.035457,            0.012324,           0.0079626,             0.00901,             0.00901,             0.00901
                  12,            0.040225,            0.020964,           0.0096583,             0.82349,             0.73376,             0.81426,             0.45423,            0.035641,            0.012012,           0.0077359,            0.008911,            0.008911,            0.008911
                  13,            0.039116,            0.020541,           0.0090205,             0.81843,             0.71661,             0.80641,             0.45953,            0.034996,            0.012175,           0.0074829,            0.008812,            0.008812,            0.008812
                  14,            0.038803,            0.020558,           0.0089571,             0.83063,             0.73284,             0.81326,             0.45798,             0.03476,            0.012047,           0.0070109,            0.008713,            0.008713,            0.008713
                  15,            0.038424,            0.020231,           0.0086107,             0.83474,             0.74624,             0.83534,             0.48123,            0.034148,            0.011776,           0.0066592,            0.008614,            0.008614,            0.008614
                  16,             0.03772,            0.019823,            0.008272,             0.82139,             0.73662,             0.82575,              0.4801,            0.033903,            0.011963,           0.0064364,            0.008515,            0.008515,            0.008515
                  17,            0.037724,            0.020014,           0.0084217,             0.83515,             0.75663,             0.84258,             0.48866,            0.033979,            0.011522,           0.0064469,            0.008416,            0.008416,            0.008416
                  18,            0.037216,            0.019843,           0.0079974,             0.86755,             0.71574,             0.82012,             0.48434,            0.034246,            0.012043,           0.0071033,            0.008317,            0.008317,            0.008317
                  19,            0.036859,            0.019545,           0.0079126,             0.84844,             0.77325,             0.85222,             0.50859,            0.032915,            0.011372,           0.0059678,            0.008218,            0.008218,            0.008218
                  20,            0.036445,            0.019303,           0.0075193,              0.8622,             0.75001,             0.83832,             0.48659,            0.034291,            0.011892,           0.0061345,            0.008119,            0.008119,            0.008119
                  21,            0.036422,            0.019214,           0.0073977,             0.87185,             0.76136,             0.85582,             0.52025,            0.032245,            0.011292,           0.0062575,             0.00802,             0.00802,             0.00802
                  22,             0.03588,            0.019108,           0.0074512,             0.86147,             0.76888,             0.84883,             0.51507,            0.033229,             0.01138,           0.0059497,            0.007921,            0.007921,            0.007921
                  23,            0.035807,            0.018518,           0.0070476,             0.86532,             0.77329,             0.85313,             0.51382,            0.033365,            0.011344,           0.0056825,            0.007822,            0.007822,            0.007822
                  24,             0.03573,            0.018788,           0.0073917,             0.86094,             0.77386,             0.85703,             0.52564,            0.031944,            0.011123,           0.0058734,            0.007723,            0.007723,            0.007723
                  25,            0.035462,            0.018469,           0.0069273,             0.86924,             0.77457,             0.85909,             0.52187,            0.032618,             0.01135,           0.0056336,            0.007624,            0.007624,            0.007624
                  26,            0.035178,            0.018561,           0.0068171,             0.87767,             0.78143,             0.86965,             0.54102,            0.031669,            0.010933,           0.0055449,            0.007525,            0.007525,            0.007525
                  27,            0.034921,            0.018475,           0.0067792,             0.87177,             0.79017,              0.8707,              0.5393,            0.031398,             0.01097,           0.0053366,            0.007426,            0.007426,            0.007426
                  28,            0.034415,            0.018249,           0.0064014,             0.86423,             0.80075,             0.87283,             0.54337,            0.031453,            0.010939,           0.0047001,            0.007327,            0.007327,            0.007327
                  29,            0.034489,            0.017951,           0.0064036,             0.88353,              0.7869,             0.87151,             0.53745,            0.031747,            0.010943,           0.0054612,            0.007228,            0.007228,            0.007228
                  30,            0.034197,            0.017971,           0.0064036,             0.86901,             0.79506,              0.8771,             0.54857,            0.031069,            0.011265,           0.0051255,            0.007129,            0.007129,            0.007129
                  31,             0.03414,            0.018181,           0.0064475,             0.89429,             0.79483,             0.88223,             0.55688,            0.030856,            0.010808,           0.0045637,             0.00703,             0.00703,             0.00703
