               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033809,            0.018344,            0.006332,             0.87229,             0.81508,             0.88436,             0.55356,            0.030379,            0.010643,           0.0043113,            0.006535,            0.006535,            0.006535
                  37,            0.033683,            0.018066,           0.0063769,             0.88463,             0.80266,              0.8833,             0.56091,            0.030421,             0.01063,           0.0044835,            0.006436,            0.006436,            0.006436
                  38,            0.033468,            0.017641,           0.0061418,             0.89222,             0.80707,             0.88291,             0.55928,            0.030567,            0.010569,           0.0045417,            0.006337,            0.006337,            0.006337
                  39,            0.033189,            0.017762,            0.005984,             0.89567,             0.80944,             0.88817,             0.56318,            0.030265,            0.010611,           0.0042198,            0.006238,            0.006238,            0.006238
                  40,            0.032986,             0.01762,            0.005838,             0.88345,             0.81962,             0.88947,             0.56601,             0.03022,            0.010473,           0.0044694,            0.006139,            0.006139,            0.006139
                  41,            0.032803,            0.017512,           0.0058201,             0.88368,             0.82863,             0.89038,             0.56934,            0.029948,            0.010428,           0.0041369,             0.00604,             0.00604,             0.00604
                  42,             0.03263,            0.017564,           0.0058113,             0.88705,             0.82883,              0.8956,             0.57862,            0.029798,            0.010404,           0.0041721,            0.005941,            0.005941,            0.005941
                  43,            0.032359,            0.017077,           0.0056617,             0.89779,             0.82688,             0.89595,             0.58037,            0.029394,            0.010301,           0.0042756,            0.005842,            0.005842,            0.005842
                  44,             0.03232,            0.017106,           0.0055825,             0.90921,             0.81217,             0.89651,             0.57232,             0.02991,            0.010339,           0.0040225,            0.005743,            0.005743,            0.005743
                  45,            0.032178,            0.017234,            0.005695,              0.9027,             0.81226,             0.89571,             0.58399,            0.029358,            0.010363,           0.0043583,            0.005644,            0.005644,            0.005644
                  46,            0.031981,            0.017086,           0.0054755,             0.88865,             0.83247,             0.89561,             0.58094,            0.029155,             0.01027,           0.0044754,            0.005545,            0.005545,            0.005545
                  47,            0.031854,            0.017176,           0.0056125,             0.90348,             0.83108,              0.8997,             0.57772,            0.029391,            0.010253,           0.0042312,            0.005446,            0.005446,            0.005446
                  48,            0.031847,            0.016978,           0.0053912,             0.91428,             0.82802,             0.90152,             0.58827,            0.029017,            0.010172,           0.0041282,            0.005347,            0.005347,            0.005347
                  49,            0.031441,            0.016946,           0.0053582,             0.90194,             0.83507,             0.90059,              0.5806,            0.029054,            0.010254,           0.0037511,            0.005248,            0.005248,            0.005248
                  50,            0.031076,            0.016595,           0.0051236,               0.905,             0.82783,             0.90132,             0.58464,             0.02932,            0.010344,           0.0042331,            0.005149,            0.005149,            0.005149
                  51,              0.0311,            0.016823,           0.0052195,             0.90149,             0.84215,             0.90463,             0.59901,            0.029012,            0.010055,           0.0039186,             0.00505,             0.00505,             0.00505
                  52,            0.031166,            0.016615,           0.0053136,             0.90091,              0.8377,             0.90379,             0.59134,            0.028802,            0.010111,           0.0039281,            0.004951,            0.004951,            0.004951
                  53,            0.030838,            0.016523,           0.0051291,              0.9077,             0.83831,             0.90422,             0.60162,            0.028517,            0.010013,           0.0037846,            0.004852,            0.004852,            0.004852
                  54,             0.03095,            0.016857,           0.0051587,             0.91291,             0.83937,             0.90765,             0.60654,            0.028499,            0.010015,           0.0036541,            0.004753,            0.004753,            0.004753
                  55,            0.030448,            0.016292,           0.0050603,             0.90418,              0.8484,             0.90683,             0.60539,            0.028305,           0.0099244,           0.0037348,            0.004654,            0.004654,            0.004654
                  56,             0.03046,            0.016485,           0.0049246,             0.92058,             0.83154,             0.90667,             0.60135,            0.028527,            0.010023,           0.0036163,            0.004555,            0.004555,            0.004555
                  57,            0.030378,            0.016143,           0.0049545,             0.91307,             0.84623,             0.91049,             0.60907,              0.0282,           0.0099438,           0.0036247,            0.004456,            0.004456,            0.004456
                  58,            0.030189,            0.016432,           0.0049189,             0.90959,             0.84323,              0.9072,             0.60571,            0.028287,            0.010043,           0.0035012,            0.004357,            0.004357,            0.004357
                  59,            0.030082,            0.016184,           0.0048024,             0.91725,             0.84231,             0.90811,             0.61499,            0.027738,           0.0098117,           0.0037273,            0.004258,            0.004258,            0.004258
                  60,            0.030192,             0.01614,           0.0047331,             0.91676,             0.84106,               0.909,             0.61627,            0.027695,           0.0099429,           0.0037543,            0.004159,            0.004159,            0.004159
                  61,            0.029989,            0.016184,           0.0047677,             0.90057,             0.84687,             0.91059,             0.61586,            0.027671,           0.0098457,             0.00384,             0.00406,             0.00406,             0.00406
                  62,            0.029458,            0.015995,           0.0046857,             0.91516,             0.85632,             0.91252,             0.61995,            0.027619,            0.009752,           0.0037676,            0.003961,            0.003961,            0.003961
                  63,            0.029457,            0.015785,           0.0047815,             0.92166,             0.84747,              0.9106,             0.61645,            0.027768,            0.009831,           0.0035621,            0.003862,            0.003862,            0.003862
                  64,            0.029504,             0.01608,           0.0047861,              0.9174,             0.84523,             0.91009,             0.61895,            0.027825,           0.0098353,            0.003637,            0.003763,            0.003763,            0.003763
                  65,            0.029297,            0.015672,           0.0047636,             0.91958,             0.84754,             0.91022,             0.62109,            0.027521,           0.0097826,           0.0035962,            0.003664,            0.003664,            0.003664
                  66,            0.029382,            0.015797,           0.0046559,             0.91755,             0.85261,             0.91242,             0.62429,            0.027392,           0.0097425,           0.0035562,            0.003565,            0.003565,            0.003565
                  67,            0.028848,            0.015444,           0.0044782,             0.91938,             0.84612,             0.91097,             0.61959,            0.027548,           0.0098933,           0.0035758,            0.003466,            0.003466,            0.003466
                  68,            0.029053,            0.015645,           0.0045718,             0.92008,             0.85153,             0.91438,             0.62698,            0.027389,           0.0097655,           0.0034864,            0.003367,            0.003367,            0.003367
                  69,            0.028721,            0.015515,           0.0043646,             0.92372,             0.85165,              0.9145,             0.63036,            0.027129,           0.0096445,           0.0034363,            0.003268,            0.003268,            0.003268
                  70,            0.028559,             0.01573,           0.0044793,             0.92067,             0.85399,             0.91541,             0.62816,             0.02709,           0.0097111,           0.0035352,            0.003169,            0.003169,            0.003169
                  71,            0.028286,            0.015569,           0.0041768,             0.91685,             0.85609,             0.91519,             0.62817,            0.027037,           0.0096667,           0.0035812,             0.00307,             0.00307,             0.00307
                  72,            0.028297,            0.015279,           0.0042431,             0.92909,             0.85023,             0.91481,             0.63107,            0.027059,           0.0097662,            0.003633,            0.002971,            0.002971,            0.002971
                  73,            0.028259,            0.015577,           0.0042653,             0.91545,             0.86133,             0.91569,             0.63594,             0.02687,           0.0097274,           0.0036101,            0.002872,            0.002872,            0.002872
                  74,            0.028049,            0.015203,           0.0041461,             0.92331,             0.85572,             0.91654,             0.63762,            0.026636,           0.0096577,            0.003565,            0.002773,            0.002773,            0.002773
                  75,            0.027662,            0.015294,           0.0039531,             0.91875,             0.85209,              0.9126,             0.63444,            0.026942,           0.0098189,           0.0035518,            0.002674,            0.002674,            0.002674
                  76,            0.027746,            0.014997,            0.004045,              0.9253,             0.85035,              0.9148,             0.63622,            0.026921,           0.0097094,           0.0035542,            0.002575,            0.002575,            0.002575
                  77,            0.027483,             0.01516,           0.0040334,             0.92085,             0.85607,             0.91518,             0.63748,             0.02681,           0.0096982,           0.0036725,            0.002476,            0.002476,            0.002476
