               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033763,            0.018263,           0.0063336,             0.89059,             0.82019,             0.89229,             0.58083,             0.02952,            0.010598,           0.0042874,            0.006535,            0.006535,            0.006535
                  37,            0.033669,            0.018157,           0.0061776,             0.88302,             0.82779,             0.89004,             0.58366,             0.02933,            0.010648,           0.0042818,            0.006436,            0.006436,            0.006436
                  38,            0.033216,            0.017624,           0.0060867,             0.89262,             0.82226,             0.89448,             0.58865,            0.029075,            0.010548,           0.0041231,            0.006337,            0.006337,            0.006337
                  39,            0.033249,            0.018065,           0.0059545,             0.88509,             0.82678,             0.89307,             0.58352,            0.029495,             0.01067,           0.0041322,            0.006238,            0.006238,            0.006238
                  40,            0.032896,            0.017721,           0.0058847,             0.88663,             0.82908,              0.8961,             0.58715,            0.029268,             0.01053,           0.0042218,            0.006139,            0.006139,            0.006139
                  41,             0.03264,            0.017463,           0.0057466,             0.90264,             0.82251,             0.89803,             0.58983,            0.029341,            0.010563,           0.0043986,             0.00604,             0.00604,             0.00604
                  42,            0.032656,            0.017552,           0.0058686,             0.90647,             0.83369,              0.9031,             0.59386,            0.028974,            0.010412,           0.0040458,            0.005941,            0.005941,            0.005941
                  43,            0.032435,            0.017037,           0.0056182,             0.90186,             0.82816,             0.90366,             0.59412,            0.029099,            0.010549,           0.0040714,            0.005842,            0.005842,            0.005842
                  44,            0.032318,            0.016919,           0.0056904,             0.89712,             0.83711,             0.90289,             0.59604,            0.028845,            0.010381,            0.004174,            0.005743,            0.005743,            0.005743
                  45,             0.03222,            0.017244,           0.0056534,             0.90817,             0.84511,             0.90364,             0.60395,            0.028528,            0.010407,           0.0039008,            0.005644,            0.005644,            0.005644
                  46,            0.031938,            0.017221,           0.0055505,             0.89888,              0.8308,             0.90141,             0.60209,            0.028424,            0.010465,           0.0041098,            0.005545,            0.005545,            0.005545
                  47,            0.032069,            0.017264,           0.0055755,             0.89577,             0.83908,             0.90337,             0.60384,            0.028253,            0.010335,           0.0038737,            0.005446,            0.005446,            0.005446
                  48,            0.031818,            0.016982,           0.0053096,             0.89763,             0.84143,             0.90483,             0.60321,            0.028488,            0.010293,           0.0040156,            0.005347,            0.005347,            0.005347
                  49,            0.031433,            0.016968,           0.0052125,             0.91023,             0.83564,             0.90377,             0.60423,            0.028188,             0.01022,           0.0038886,            0.005248,            0.005248,            0.005248
                  50,            0.030995,             0.01659,            0.005117,             0.91334,             0.83886,             0.90542,             0.60558,            0.028247,            0.010322,           0.0040083,            0.005149,            0.005149,            0.005149
                  51,            0.031003,            0.016773,           0.0050643,              0.9056,             0.84185,              0.9047,             0.61184,            0.028083,            0.010283,           0.0040486,             0.00505,             0.00505,             0.00505
                  52,             0.03096,            0.016653,           0.0054139,             0.89174,             0.85173,             0.90648,             0.61194,            0.028013,            0.010216,           0.0041225,            0.004951,            0.004951,            0.004951
                  53,            0.030962,            0.016717,           0.0051163,              0.9188,             0.83731,              0.9095,             0.61548,            0.027803,             0.01023,           0.0043328,            0.004852,            0.004852,            0.004852
                  54,            0.030977,            0.016806,           0.0051498,              0.8983,             0.85495,             0.91227,             0.61965,            0.027787,             0.01012,           0.0038756,            0.004753,            0.004753,            0.004753
                  55,            0.030369,            0.016259,           0.0047841,             0.91794,             0.84639,             0.91149,             0.62227,             0.02764,            0.010098,           0.0040671,            0.004654,            0.004654,            0.004654
                  56,            0.030186,            0.016358,           0.0048995,             0.91555,             0.84668,             0.91006,             0.62532,            0.027366,            0.010114,           0.0039915,            0.004555,            0.004555,            0.004555
                  57,             0.03046,            0.016177,           0.0050673,             0.91761,             0.84465,             0.90987,             0.62458,             0.02747,            0.010044,           0.0039885,            0.004456,            0.004456,            0.004456
                  58,            0.030112,            0.016387,           0.0049281,             0.91054,             0.84803,             0.91178,             0.62804,             0.02752,            0.010035,           0.0039736,            0.004357,            0.004357,            0.004357
                  59,            0.029972,            0.016253,           0.0049727,             0.90911,             0.85314,             0.91273,             0.62621,              0.0275,            0.010004,             0.00393,            0.004258,            0.004258,            0.004258
                  60,             0.03004,            0.016315,           0.0047728,             0.90814,             0.85708,             0.91377,             0.62883,             0.02732,           0.0099801,           0.0039197,            0.004159,            0.004159,            0.004159
                  61,            0.029948,            0.016023,            0.004423,             0.90766,              0.8566,             0.91367,             0.63162,            0.027217,            0.009995,           0.0041381,             0.00406,             0.00406,             0.00406
                  62,            0.029552,            0.015957,           0.0045773,              0.9074,             0.85881,             0.91438,             0.63463,            0.027203,           0.0099571,           0.0039307,            0.003961,            0.003961,            0.003961
                  63,            0.029326,            0.015804,           0.0046762,             0.91031,             0.86421,             0.91535,             0.63268,            0.027207,           0.0099116,           0.0039979,            0.003862,            0.003862,            0.003862
                  64,            0.029458,            0.015968,            0.004646,             0.91366,              0.8552,             0.91448,             0.63341,            0.027059,           0.0099789,           0.0039327,            0.003763,            0.003763,            0.003763
                  65,            0.029051,            0.015629,           0.0044473,             0.91525,             0.85785,             0.91727,             0.63595,            0.027057,           0.0099401,           0.0040013,            0.003664,            0.003664,            0.003664
                  66,            0.029201,            0.015653,           0.0046964,             0.92936,             0.84865,             0.91508,             0.63619,            0.027044,            0.009983,           0.0038898,            0.003565,            0.003565,            0.003565
                  67,            0.028797,            0.015459,             0.00432,             0.91555,             0.85516,             0.91574,               0.641,            0.026735,           0.0099623,           0.0037525,            0.003466,            0.003466,            0.003466
                  68,            0.029008,            0.015474,           0.0044193,             0.91929,             0.84894,             0.91341,              0.6387,             0.02688,           0.0099197,           0.0037791,            0.003367,            0.003367,            0.003367
                  69,            0.028619,            0.015447,           0.0044032,             0.91624,             0.86292,             0.91745,              0.6424,            0.026665,           0.0098891,           0.0038347,            0.003268,            0.003268,            0.003268
                  70,              0.0286,            0.015498,           0.0044893,             0.91943,             0.85376,             0.91525,             0.64037,            0.026653,           0.0098913,           0.0038015,            0.003169,            0.003169,            0.003169
                  71,            0.028169,            0.015491,           0.0041367,             0.92792,             0.84917,             0.91388,              0.6432,            0.026595,           0.0099383,            0.003942,             0.00307,             0.00307,             0.00307
